source,target,n_env,beta_hat,c_hat,rmse,r2,varx_ratio,pairwise_beta_sd
AKR1B1,ITPR2,4,-0.189596430715023,0.10654760123706565,0.11317845904984297,0.21548569650682592,1.8711215076860712,1.2591591688344377
APEX1,SLC5A5,4,0.05117707454176562,-0.022415354160539833,0.010077655819946421,0.48707586936210745,1.7901055635355554,0.07665667248388736
ATF3,LDLR,4,0.1997924557433797,-0.008164690956169004,0.029936940489979726,0.6662245890250243,9.839706122094988,0.11247665994248739
CEBPA,DAPK1,4,0.44795616997158705,-0.011413701371471262,0.056033587670902926,0.6616437963951809,5.066980243565503,1.0425107748391207
CEBPA,HNF4A,4,-0.005515505710848826,0.0006193256376580511,0.00405077771331272,0.5241900443703794,5.066980243565503,0.08097140832420807
CEBPA,VLDLR,4,-0.019644511552572817,0.001483271244247635,0.018754656928218375,0.227675649632187,5.066980243565503,0.38607658696154956
CEBPB,GFER,4,0.024170636554199522,-0.006506502796525425,0.025884145947330742,0.021810426662717264,2.392312466159792,0.1708210103722532
CREB1,XPC,4,0.04581907233474733,-0.007472745938664405,0.012914474353515155,0.10045210136193217,1.8748033533276036,1.152124621833257
CTCF,CACNA1D,4,0.014156907088562182,-0.004494969430356401,0.008636225798749255,0.06157006411330168,1.6439880457168061,0.0701551741143826
CTCF,MAP4K4,4,-0.16210598597374554,0.09044121572892157,0.03863435412017347,0.5703054720803704,1.6439880457168061,0.33476746579825273
DDIT3,TNFRSF10B,4,0.17112174705991567,-0.043778346459306075,0.013876807373207178,0.6644081640103418,1.4798491319416176,0.15268271668335368
E2F1,CHEK2,4,0.12134816839470323,-0.00041407778139474334,0.048267846817174866,0.008496745708921116,1.940160133044153,0.45674685377436386
E2F4,EIF2B2,4,0.05478461773348181,-0.007555342435891509,0.005945350400682397,0.7208592614920282,2.3688074413773346,0.11154398922833883
E2F4,SRSF8,4,0.04326478998099347,-0.0008083615982324661,0.011653796031033092,0.007635223043857109,2.3688074413773346,0.19416130059237566
EGR1,ARHGAP45,4,-0.10848735621214678,0.01924295257873812,0.0806574596786835,0.7843199720617298,17.810872640582378,0.8011934944403056
EGR1,DNM1,4,0.02878251187493895,-0.0021931820431979536,0.02548635491863539,0.321164461855748,17.810872640582378,0.11827104611989755
EGR1,MMP14,4,0.020068149781870197,-0.00016005429962109098,0.017983285914995286,0.0050353913379127535,17.810872640582378,0.07962933121058452
EGR1,SYN2,4,0.0038893750954346732,0.00029789889662798735,0.001616038267445694,0.6846439021748796,17.810872640582378,0.008195925737690749
EGR1,ZFPM1,4,-0.01621405117061645,0.0008910573537422933,0.007483519579833601,0.47528379030166756,17.810872640582378,0.06730321322590609
ESR1,SMOX,4,0.031593281163125375,-0.0013567025660631764,0.004885730311793484,0.8428884563493597,5.565358216745276,0.01759902053679581
ETS1,PRL,4,-0.0007627829457862439,4.735846331522884e-05,0.0004236940560120874,0.016879456038517704,3.998543916478504,0.0026575407171297214
ETS1,ST3GAL1,4,0.24195897757305207,-0.07462714855390329,0.07862520781441243,0.5531785381061107,3.998543916478504,0.3118191596769395
ETV4,CCND2,4,0.1510143188048724,-0.0007222083161039332,0.04547337678623995,0.3057663921419568,3.723605399562383,0.18475293726412542
EZH2,ADAMTS1,4,0.0021991817036712317,-0.0013188260275409324,0.020154621247127916,0.0368263274666657,3.4447988278761854,0.13323246702309696
EZH2,RPLP0,4,0.024230848435218274,-0.007349336179044194,0.10089861105784706,0.04523259525283452,3.4447988278761854,0.8792602805966248
FOS,CEP112,4,0.032452719256747406,-0.02517883770778276,0.004447597913315981,0.8775615948559057,2.0820723255767883,0.19842090551719674
FOS,PARD3B,4,0.10214889492053003,-0.08601101629505967,0.030178062350767157,0.6449650526743518,2.0820723255767883,0.37411939524969606
GATA2,FRY,4,0.11965829334282925,0.001503593857758627,0.07914304728573664,0.7772924285724524,46.78515475106114,0.37841479398585115
GATA2,NR3C2,4,-0.08814682958162366,0.004574929248311995,0.06224671712771657,0.9812148636267162,46.78515475106114,0.11547416315631104
GATA3,RBMS1,4,0.1363361345442438,-0.0009893194802931098,0.16617940984299412,0.002227701452561126,6.544434737428161,0.4315245938264345
HIF1A,ITGB2,4,0.30482034393271984,-0.1499295285891363,0.10817395203181407,0.11839476639929447,1.5255905778372452,16.8036181769098
HIF1A,XXYLT1,4,0.005246151910780014,-0.0009677081763259329,0.010131541196732067,0.0006373680440665552,1.5255905778372452,0.469119965383535
HIPK2,NOX1,4,-0.0013566759760265917,0.0014104793637906255,0.0019752341035919247,0.028939261280467754,1.5306997619422873,0.03218322843357246
HNF4A,ZBTB16,4,-0.16186951974569755,0.0010403232259759661,0.07191690887081408,0.7214213548181154,143.9239086001267,1.8470940631090043
JUN,STMN1,4,0.11722792100220074,-0.06734460864212052,0.015239010207261894,0.8359449979831862,2.2925606448345617,0.14206199443271023
JUND,ERBB2,4,0.023517301832209507,-0.006314831002895447,0.023600277125095936,0.015413939883249572,1.9507070828511746,0.3286214707817581
KAT2B,SMAD4,4,0.021796258442005535,-0.002707217380813162,0.006984546384767642,0.2792189437548036,3.4161960252038717,0.032655744531261716
LMX1B,COL4A4,4,-0.1283237659982861,0.0006324917640157321,0.07910492443959763,0.6694122092798703,3.927375338736714,1.9043421786006383
MEIS2,IL17RB,4,-0.02436037096030877,-0.00044541359198218823,0.037360748529695315,0.014503692086436315,8.349897863955038,0.2722969495088253
MEN1,RAD51AP1,4,-0.000887180498367028,0.000884617526091328,0.005573292246352592,0.35047004798747206,3.089375524162563,0.16732502692644954
MITF,AFF3,4,-0.2510420854056985,0.025723694894212275,0.0643031183459787,0.250623339129455,3.269119700237117,0.29285504052577527
MITF,ARSG,4,0.023432577543315555,-0.002058410143074396,0.03056305378769566,0.009390560498868217,3.269119700237117,0.14059458678889133
MITF,TSC22D2,4,0.18613216853980763,-0.013982320275591514,0.11471512184450314,0.030113200542441487,3.269119700237117,0.5993028269441885
MYB,ANPEP,4,-0.0005746949133599565,-0.0016753172728663857,0.04754503700270977,0.8353782056672304,12.774925570401427,0.19328188936617383
MYC,CCKBR,4,-0.000927646533511191,0.00018110239440388313,0.0004490560660520674,0.05765970013545774,1.8104560431531962,0.003928630622604976
MYC,MELTF,4,0.06002016854501648,-0.01674692446152423,0.008732728134394468,0.5804536549259282,1.8104560431531962,0.07775504398414582
MYC,SHMT1,4,0.037182747305889725,0.003978226239987278,0.02723038446319172,0.007965545637037552,1.8104560431531962,0.4733186349176262
NFKB1,NOX5,4,1.2982252360551998e-05,-0.0003309428932571728,0.00039394685603316796,0.14239481787830577,2.2227710544390544,0.004453757339702164
NFKB2,CXCL8,4,0.3721930989702101,-0.027831885953708148,0.022942780004740686,0.9524620760316095,4.223125354496775,0.07343236218881848
NR2F2,RFTN1,4,-0.006751408193119328,0.0006068421823095626,0.10432287073660036,0.07836093077492079,68.48060187504822,0.6808345222540466
PRDM14,TP53I11,4,-0.099794420123271,7.442242289949438e-05,0.07026067013564911,0.04181856843710641,1.7363503585507436,1.8377213319245531
RELA,CXCL8,4,0.14050339054393263,-0.03117341469831596,0.003682238352753354,0.9890830687806318,2.5277100288781416,0.026892003009378142
RELA,SLC9A2,4,0.0022740298928851004,-0.0011022764552515616,0.0010535625157423424,0.580487336256051,2.5277100288781416,0.00908672569603483
RFXANK,HLA-DRB5,4,-0.15942972333253647,0.04127551615700071,0.028956648871026752,0.6871934049878166,1.7298866664398205,0.9356306740958655
RUNX1,SLC22A4,4,0.04944755448990526,-0.009386822354631915,0.03037096391496182,0.052101267429033205,2.4476423463804906,0.42759799724586434
SIRT1,EGLN1,4,-0.030206004825307886,0.007231593367033887,0.00552590143440069,0.6497235135065911,2.0370468440914173,0.14651941304588786
SP1,CREB1,4,-0.06019838482143546,0.028341301188800645,0.006783695949735999,0.8333649390738033,1.4989209754771469,0.09723146389298358
SP1,DDB2,4,-0.07764570131031698,0.02677343795735016,0.010404824545804683,0.65483273494789,1.4989209754771469,0.7789159339784353
SP1,MAOB,4,0.06086679448304275,-0.018171890533499935,0.0182781468827985,0.22070010266343665,1.4989209754771469,1.3102238375227566
SP3,CHRNB4,4,0.00028467588445623196,9.294146436732002e-05,0.0006198600161713504,0.01525329161284561,2.4672047252501423,0.0034053495348613213
SP3,F2R,4,-0.046742828562038284,0.02288608585663568,0.014275706936795902,0.6390857255312241,2.4672047252501423,0.09935187972312162
SPI1,CUX2,4,0.0065373134426766595,-0.0009235143804939022,0.002708049252017527,0.75713630269243,9.47439719550813,0.013638775319291795
SPI1,GALNT2,4,-0.054178144066093184,0.022055455534836437,0.11063957228361396,0.5157952817718874,9.47439719550813,0.6778494891135347
SREBF2,ABCG8,4,-0.004825972421598795,0.0022831010645509883,0.0015856135769163413,0.7558792912289471,2.813135465713497,0.007620514533242146
STAT1,CDC7,4,0.020326541752308185,-0.006428820948260112,0.003885643177011419,0.3013447307162187,1.6494621947567465,0.036347863342431584
STAT1,VSIR,4,-0.08310913621468992,0.039063615207172026,0.03269857334163701,0.18359358466552844,1.6494621947567465,0.3203181468282189
STAT3,EPAS1,4,-0.02157034610322363,0.054017510229660115,0.060380807888977484,0.10659856266159051,1.6722177716950881,4.272772479497958
STAT3,JUNB,4,0.23566317117749494,-0.0524203855827347,0.060729787063275684,0.09997364937927555,1.6722177716950881,1.5198895643879937
STAT3,TYK2,4,0.017012050203404315,-0.0004206999787635107,0.005488137281144371,0.0008752823401162457,1.6722177716950881,1.1769039338697462
TP53,KCNMA1,4,-0.02910791579354929,0.006214764512958825,0.0162120175116863,0.1944527587876853,2.0995228728924995,0.10347942416390829
TP53,SEC14L2,4,0.026009125604540672,-0.002924350126933084,0.004074261406948102,0.45836734237227283,2.0995228728924995,0.02735345815727968
TP53,USP9X,4,0.06843807187104387,-0.0027778728883423027,0.003163337073614369,0.5588344982581834,2.0995228728924995,0.019955187551412127
VDR,CD14,4,0.2644356648467137,-0.031321511830998634,0.1785239446955177,0.05444923554037184,1.9008764414407269,1.4920313744015898
ZBTB33,RBM15,4,0.02415017642872032,-0.0008050884837342934,0.0010231997317457179,0.7195841530642886,1.648214584290575,0.0643676397661466
ZNF263,CASZ1,4,-0.0033397643972613764,0.002369330603509218,0.009844316049022745,0.2627070693313125,2.3035056575753026,0.1925164530301878
ZNF263,SSBP3,4,-0.030611241609576966,0.006366398521965853,0.007668354488141774,0.8091492404294731,2.3035056575753026,0.0789727660868636
