source,target,beta_hat_full,beta_hat_loo_mean,beta_hat_loo_sd,beta_hat_loo_min,beta_hat_loo_max,beta_hat_loo_range
AKR1B1,ITPR2,-0.189596430715023,-0.2982854584818635,0.33980740937844617,-0.7795324348766038,0.018769922145529604,0.7983023570221335
APEX1,SLC5A5,0.05117707454176562,0.043880399812533416,0.03771185176857516,-0.011096817522619332,0.07304328999195914,0.08414010751457847
ATF3,LDLR,0.1997924557433797,0.23210982378859296,0.0692356099697463,0.1778102439360762,0.3319673891796815,0.1541571452436053
CEBPA,DAPK1,0.44795616997158705,0.4601470426917722,0.05057387329685149,0.4157427104179165,0.5221980484858688,0.10645533806795232
CEBPA,HNF4A,-0.005515505710848826,-0.006016804704025573,0.002506288163068952,-0.008193099149494523,-0.0035920075455261754,0.004601091603968347
CEBPA,VLDLR,-0.019644511552572817,-0.019098388847112385,0.009329301816795714,-0.028493842845609,-0.006247033100593907,0.022246809745015094
CEBPB,GFER,0.024170636554199522,0.026676465648080586,0.04874047603092574,-0.021865341033975298,0.093546425873384,0.1154117669073593
CREB1,XPC,0.04581907233474733,-0.21006482072100455,0.5146847070821237,-0.9819712283143616,0.059945291976177546,1.0419165202905392
CTCF,CACNA1D,0.014156907088562182,0.004498116083458787,0.03727545274093998,-0.04981062446171787,0.03511387652381285,0.08492450098553073
CTCF,MAP4K4,-0.16210598597374554,-0.20523834176544636,0.1414467235697484,-0.4148832036002176,-0.1046314729125033,0.3102517306877143
DDIT3,TNFRSF10B,0.17112174705991567,0.16704271799832743,0.09345130291792862,0.0619774063510393,0.2881100782462878,0.22613267189524852
E2F1,CHEK2,0.12134816839470323,0.07118621190905185,0.2029452097965011,-0.2218998996215918,0.23242027830278897,0.45432017792438073
E2F4,EIF2B2,0.05478461773348181,0.05398779065865872,0.00582409437768443,0.046516487904630525,0.06037366200640596,0.013857174101775435
E2F4,SRSF8,0.04326478998099347,0.055064768038056836,0.03610497108198191,0.023510740716351595,0.10649488988524368,0.08298414916889209
EGR1,ARHGAP45,-0.10848735621214678,-0.16231424058402344,0.11896666715884646,-0.3243503985809882,-0.038239838624001585,0.2861105599569866
EGR1,DNM1,0.02878251187493895,-0.020554232491505113,0.10024138792441634,-0.16910191029105856,0.04063307363382887,0.20973498392488743
EGR1,MMP14,0.020068149781870197,-0.01548162170179175,0.07219627078924645,-0.12251892753704602,0.029584988575647658,0.15210391611269367
EGR1,SYN2,0.0038893750954346732,0.0008717236218900682,0.0061365010208941015,-0.00821402424776214,0.004679221619328651,0.01289324586709079
EGR1,ZFPM1,-0.01621405117061645,-0.005561956577795318,0.02189073146128673,-0.02286745559099453,0.026513436774410877,0.04938089236540541
ESR1,SMOX,0.031593281163125375,0.030136632773466513,0.0066457512709221294,0.02306010304013098,0.039074032324261286,0.016013929284130306
ETS1,PRL,-0.0007627829457862439,-0.000982994427840897,0.0007592124115725823,-0.001998443102212146,-0.00023809839943706687,0.0017603447027750789
ETS1,ST3GAL1,0.24195897757305207,0.19327351841025334,0.18306069893470914,-0.046229575425020805,0.39751449199016975,0.44374406741519057
ETV4,CCND2,0.1510143188048724,0.16334151875685876,0.05293701693703031,0.09487075198414474,0.21347727795883414,0.1186065259746894
EZH2,ADAMTS1,0.0021991817036712317,-0.01045373220039414,0.03696225543882653,-0.06360237773645401,0.019388952779284544,0.08299133051573855
EZH2,RPLP0,0.024230848435218274,0.027166810410414757,0.08232143336639308,-0.02387634428003015,0.1497211922697912,0.17359753654982135
FOS,CEP112,0.032452719256747406,0.03271029608388259,0.010136733927417478,0.020286884611842727,0.04507865742300608,0.024791772811163355
FOS,PARD3B,0.10214889492053003,0.09568380078278453,0.045546466258087594,0.0300760804647194,0.12830479287037577,0.09822871240565637
GATA2,FRY,0.11965829334282925,0.1354542353013456,0.059832881595804126,0.04883701950486481,0.18560009556534363,0.13676307606047883
GATA2,NR3C2,-0.08814682958162366,-0.06445121130747054,0.0617257313070275,-0.126365139585033,0.01065182525590692,0.13701696484093992
GATA3,RBMS1,0.1363361345442438,0.0953164603085391,0.15707065069453569,-0.09095151792190573,0.29141795301368206,0.3823694709355878
HIF1A,ITGB2,0.30482034393271984,0.09479518580673411,0.6141687633620748,-0.7941826146561289,0.5730559638104656,1.3672385784665946
HIF1A,XXYLT1,0.005246151910780014,-0.02028593959662437,0.0727085620617456,-0.12913302022239187,0.0194771470335067,0.14861016725589857
HIPK2,NOX1,-0.0013566759760265917,-0.0018077222532385823,0.005102710005667192,-0.00935378307085987,0.0018338822058864513,0.01118766527674632
HNF4A,ZBTB16,-0.16186951974569755,-0.18660178388321166,0.09833714262562414,-0.3271949207828155,-0.0988302843434098,0.2283646364394057
JUN,STMN1,0.11722792100220074,0.11494290531847456,0.021932443336402006,0.08319185780407856,0.13076181419399366,0.0475699563899151
JUND,ERBB2,0.023517301832209507,-0.0062759602099037755,0.09345685409469465,-0.13865636733269868,0.0775161028595481,0.21617247019224678
KAT2B,SMAD4,0.021796258442005535,0.02381435673057534,0.007636066258667675,0.016890602297806704,0.03459463861017785,0.017704036312371146
LMX1B,COL4A4,-0.1283237659982861,-0.0758653137076348,0.18857989118577945,-0.2873376667760188,0.16903070038860205,0.4563683671646208
MEIS2,IL17RB,-0.02436037096030877,-0.020891174189219618,0.030314252723391538,-0.05844994457038703,0.013170567393836576,0.07162051196422362
MEN1,RAD51AP1,-0.000887180498367028,-0.0012156209144384591,0.002774558564722834,-0.004485868321101283,0.002184835609319748,0.006670703930421031
MITF,AFF3,-0.2510420854056985,-0.22878066921551973,0.10752624252901191,-0.34374877465896725,-0.08679661068346116,0.2569521639755061
MITF,ARSG,0.023432577543315555,0.01561151038347144,0.06391061828883746,-0.07593236023318413,0.0628762991315931,0.1388086593647772
MITF,TSC22D2,0.18613216853980763,0.14942235368813134,0.16157832475241085,-0.043892405489462036,0.3322737948875802,0.37616620037704224
MYB,ANPEP,-0.0005746949133599565,-0.06445542905768441,0.13352591370884473,-0.2589288797897732,0.045284247811523466,0.30421312760129665
MYC,CCKBR,-0.000927646533511191,0.0004311350826310752,0.003385715082322937,-0.0015142967688150874,0.005501911832264728,0.007016208601079815
MYC,MELTF,0.06002016854501648,0.08615482515672987,0.06487436159677579,0.050043077923517996,0.1833821734812054,0.1333390955576874
MYC,SHMT1,0.037182747305889725,0.10329210351339162,0.1738570997874764,-0.028689327550807244,0.35867207854032257,0.3873614060911298
NFKB1,NOX5,1.2982252360551998e-05,-0.000813630365945274,0.002358270801038684,-0.004280879910889434,0.0010023165679339731,0.005283196478823407
NFKB2,CXCL8,0.3721930989702101,0.36570422712802003,0.030852999505225732,0.3243721140603029,0.3986183123872961,0.0742461983269932
NR2F2,RFTN1,-0.006751408193119328,-0.016033088534730046,0.06478110638311395,-0.08658236328624684,0.06466212361503608,0.15124448690128292
PRDM14,TP53I11,-0.099794420123271,-0.08448629224648457,0.19710299053120753,-0.25921837443130025,0.16956002784418897,0.42877840227548925
RELA,CXCL8,0.14050339054393263,0.14503359927256665,0.012446484314115719,0.1376720641382791,0.16366263046283233,0.025990566324553238
RELA,SLC9A2,0.0022740298928851004,0.0013543860719551454,0.0033155471234130322,-0.0033378669251673734,0.004428080760434858,0.007765947685602232
RFXANK,HLA-DRB5,-0.15942972333253647,-0.15680274244230846,0.05066513612327501,-0.21023186931887924,-0.08840528899954969,0.12182658031932955
RUNX1,SLC22A4,0.04944755448990526,0.051265889328309444,0.03501434298981595,0.023569288717746825,0.10080769754001796,0.07723840882227113
SIRT1,EGLN1,-0.030206004825307886,0.014152856885234778,0.09104569776078512,-0.03329362681504894,0.15068476980161966,0.1839783966166686
SP1,CREB1,-0.06019838482143546,-0.09852716759376773,0.08895483949058527,-0.22926781029849677,-0.02981411296130756,0.1994536973371892
SP1,DDB2,-0.07764570131031698,-0.04490900962317393,0.07818825059708275,-0.10870027916311947,0.06776391353327771,0.17646419269639718
SP1,MAOB,0.06086679448304275,-0.01248702420127222,0.16930513819881304,-0.2611431100207863,0.11113129526803084,0.3722744052888171
SP3,CHRNB4,0.00028467588445623196,0.0005173856590287299,0.0019173591234145668,-0.0013404372599914826,0.003177906222985587,0.004518343482977069
SP3,F2R,-0.046742828562038284,-0.0440344397489674,0.02014789011152262,-0.0574331610839611,-0.014048803015646384,0.04338435806831471
SPI1,CUX2,0.0065373134426766595,0.0064435129939209084,0.0014088596594193676,0.005334602276387015,0.008439108761618939,0.003104506485231924
SPI1,GALNT2,-0.054178144066093184,-0.052022276876329314,0.07180117810442879,-0.15421416917483807,0.0024428971356325133,0.15665706631047058
SREBF2,ABCG8,-0.004825972421598795,-0.002448803887282039,0.006028077950350474,-0.008107777972163457,0.006086541737558293,0.01419431970972175
STAT1,CDC7,0.020326541752308185,0.023310866838276517,0.01105266571150451,0.014101847606139424,0.03893351606690714,0.024831668460767717
STAT1,VSIR,-0.08310913621468992,-0.09847739031829794,0.12969080285729045,-0.2654101815649365,0.0459268510678257,0.3113370326327622
STAT3,EPAS1,-0.02157034610322363,0.004605177323104052,0.1516005786561957,-0.1246158638226253,0.21439105672972147,0.33900692055234677
STAT3,JUNB,0.23566317117749494,0.2082112954222816,0.1499664899835405,-0.013767794142658281,0.3032528450944244,0.3170206392370827
STAT3,TYK2,0.017012050203404315,0.017650391357501176,0.016059285030585423,-0.00319706655233727,0.03491865522115355,0.03811572177349082
TP53,KCNMA1,-0.02910791579354929,-0.03790489684786756,0.044815480157869805,-0.10342449048996066,-0.0029133067807272997,0.10051118370923337
TP53,SEC14L2,0.026009125604540672,0.023723180469235626,0.009538642694649569,0.010126623615521798,0.032404347614673326,0.022277723999151528
TP53,USP9X,0.06843807187104387,0.06674517449242255,0.009031614172420864,0.05352024933526994,0.07355295473628283,0.020032705401012887
VDR,CD14,0.2644356648467137,0.19161690076761942,0.536808214654039,-0.5590542375624946,0.7150535226948045,1.2741077602572992
ZBTB33,RBM15,0.02415017642872032,0.024947517627034718,0.002124543400031684,0.022571808799692613,0.027514852683106168,0.004943043883413555
ZNF263,CASZ1,-0.0033397643972613764,-0.003600336605687801,0.02061900290023596,-0.030505558201993778,0.019576007873536104,0.05008156607552988
ZNF263,SSBP3,-0.030611241609576966,-0.03274690579522794,0.012154097372091732,-0.04705071140705047,-0.01882066700940596,0.02823004439764451
