r2_min,rmse_max,varx_ratio_min,pairwise_sd_max,pass_count,pass_fraction
0.3,0.05,1.1,0.15,23,0.3026315789473684
0.3,0.05,1.1,0.2,28,0.3684210526315789
0.3,0.05,1.1,0.3,28,0.3684210526315789
0.3,0.05,1.25,0.15,23,0.3026315789473684
0.3,0.05,1.25,0.2,28,0.3684210526315789
0.3,0.05,1.25,0.3,28,0.3684210526315789
0.3,0.05,1.5,0.15,22,0.2894736842105263
0.3,0.05,1.5,0.2,26,0.34210526315789475
0.3,0.05,1.5,0.3,26,0.34210526315789475
0.3,0.1,1.1,0.15,24,0.3157894736842105
0.3,0.1,1.1,0.2,29,0.3815789473684211
0.3,0.1,1.1,0.3,29,0.3815789473684211
0.3,0.1,1.25,0.15,24,0.3157894736842105
0.3,0.1,1.25,0.2,29,0.3815789473684211
0.3,0.1,1.25,0.3,29,0.3815789473684211
0.3,0.1,1.5,0.15,23,0.3026315789473684
0.3,0.1,1.5,0.2,27,0.35526315789473684
0.3,0.1,1.5,0.3,27,0.35526315789473684
0.3,0.15,1.1,0.15,24,0.3157894736842105
0.3,0.15,1.1,0.2,29,0.3815789473684211
0.3,0.15,1.1,0.3,29,0.3815789473684211
0.3,0.15,1.25,0.15,24,0.3157894736842105
0.3,0.15,1.25,0.2,29,0.3815789473684211
0.3,0.15,1.25,0.3,29,0.3815789473684211
0.3,0.15,1.5,0.15,23,0.3026315789473684
0.3,0.15,1.5,0.2,27,0.35526315789473684
0.3,0.15,1.5,0.3,27,0.35526315789473684
0.4,0.05,1.1,0.15,21,0.27631578947368424
0.4,0.05,1.1,0.2,24,0.3157894736842105
0.4,0.05,1.1,0.3,24,0.3157894736842105
0.4,0.05,1.25,0.15,21,0.27631578947368424
0.4,0.05,1.25,0.2,24,0.3157894736842105
0.4,0.05,1.25,0.3,24,0.3157894736842105
0.4,0.05,1.5,0.15,20,0.2631578947368421
0.4,0.05,1.5,0.2,22,0.2894736842105263
0.4,0.05,1.5,0.3,22,0.2894736842105263
0.4,0.1,1.1,0.15,22,0.2894736842105263
0.4,0.1,1.1,0.2,25,0.32894736842105265
0.4,0.1,1.1,0.3,25,0.32894736842105265
0.4,0.1,1.25,0.15,22,0.2894736842105263
0.4,0.1,1.25,0.2,25,0.32894736842105265
0.4,0.1,1.25,0.3,25,0.32894736842105265
0.4,0.1,1.5,0.15,21,0.27631578947368424
0.4,0.1,1.5,0.2,23,0.3026315789473684
0.4,0.1,1.5,0.3,23,0.3026315789473684
0.4,0.15,1.1,0.15,22,0.2894736842105263
0.4,0.15,1.1,0.2,25,0.32894736842105265
0.4,0.15,1.1,0.3,25,0.32894736842105265
0.4,0.15,1.25,0.15,22,0.2894736842105263
0.4,0.15,1.25,0.2,25,0.32894736842105265
0.4,0.15,1.25,0.3,25,0.32894736842105265
0.4,0.15,1.5,0.15,21,0.27631578947368424
0.4,0.15,1.5,0.2,23,0.3026315789473684
0.4,0.15,1.5,0.3,23,0.3026315789473684
0.5,0.05,1.1,0.15,18,0.23684210526315788
0.5,0.05,1.1,0.2,21,0.27631578947368424
0.5,0.05,1.1,0.3,21,0.27631578947368424
0.5,0.05,1.25,0.15,18,0.23684210526315788
0.5,0.05,1.25,0.2,21,0.27631578947368424
0.5,0.05,1.25,0.3,21,0.27631578947368424
0.5,0.05,1.5,0.15,17,0.2236842105263158
0.5,0.05,1.5,0.2,19,0.25
0.5,0.05,1.5,0.3,19,0.25
0.5,0.1,1.1,0.15,19,0.25
0.5,0.1,1.1,0.2,22,0.2894736842105263
0.5,0.1,1.1,0.3,22,0.2894736842105263
0.5,0.1,1.25,0.15,19,0.25
0.5,0.1,1.25,0.2,22,0.2894736842105263
0.5,0.1,1.25,0.3,22,0.2894736842105263
0.5,0.1,1.5,0.15,18,0.23684210526315788
0.5,0.1,1.5,0.2,20,0.2631578947368421
0.5,0.1,1.5,0.3,20,0.2631578947368421
0.5,0.15,1.1,0.15,19,0.25
0.5,0.15,1.1,0.2,22,0.2894736842105263
0.5,0.15,1.1,0.3,22,0.2894736842105263
0.5,0.15,1.25,0.15,19,0.25
0.5,0.15,1.25,0.2,22,0.2894736842105263
0.5,0.15,1.25,0.3,22,0.2894736842105263
0.5,0.15,1.5,0.15,18,0.23684210526315788
0.5,0.15,1.5,0.2,20,0.2631578947368421
0.5,0.15,1.5,0.3,20,0.2631578947368421
0.6,0.05,1.1,0.15,14,0.18421052631578946
0.6,0.05,1.1,0.2,17,0.2236842105263158
0.6,0.05,1.1,0.3,17,0.2236842105263158
0.6,0.05,1.25,0.15,14,0.18421052631578946
0.6,0.05,1.25,0.2,17,0.2236842105263158
0.6,0.05,1.25,0.3,17,0.2236842105263158
0.6,0.05,1.5,0.15,13,0.17105263157894737
0.6,0.05,1.5,0.2,15,0.19736842105263158
0.6,0.05,1.5,0.3,15,0.19736842105263158
0.6,0.1,1.1,0.15,15,0.19736842105263158
0.6,0.1,1.1,0.2,18,0.23684210526315788
0.6,0.1,1.1,0.3,18,0.23684210526315788
0.6,0.1,1.25,0.15,15,0.19736842105263158
0.6,0.1,1.25,0.2,18,0.23684210526315788
0.6,0.1,1.25,0.3,18,0.23684210526315788
0.6,0.1,1.5,0.15,14,0.18421052631578946
0.6,0.1,1.5,0.2,16,0.21052631578947367
0.6,0.1,1.5,0.3,16,0.21052631578947367
0.6,0.15,1.1,0.15,15,0.19736842105263158
0.6,0.15,1.1,0.2,18,0.23684210526315788
0.6,0.15,1.1,0.3,18,0.23684210526315788
0.6,0.15,1.25,0.15,15,0.19736842105263158
0.6,0.15,1.25,0.2,18,0.23684210526315788
0.6,0.15,1.25,0.3,18,0.23684210526315788
0.6,0.15,1.5,0.15,14,0.18421052631578946
0.6,0.15,1.5,0.2,16,0.21052631578947367
0.6,0.15,1.5,0.3,16,0.21052631578947367
0.7,0.05,1.1,0.15,10,0.13157894736842105
0.7,0.05,1.1,0.2,12,0.15789473684210525
0.7,0.05,1.1,0.3,12,0.15789473684210525
0.7,0.05,1.25,0.15,10,0.13157894736842105
0.7,0.05,1.25,0.2,12,0.15789473684210525
0.7,0.05,1.25,0.3,12,0.15789473684210525
0.7,0.05,1.5,0.15,9,0.11842105263157894
0.7,0.05,1.5,0.2,11,0.14473684210526316
0.7,0.05,1.5,0.3,11,0.14473684210526316
0.7,0.1,1.1,0.15,11,0.14473684210526316
0.7,0.1,1.1,0.2,13,0.17105263157894737
0.7,0.1,1.1,0.3,13,0.17105263157894737
0.7,0.1,1.25,0.15,11,0.14473684210526316
0.7,0.1,1.25,0.2,13,0.17105263157894737
0.7,0.1,1.25,0.3,13,0.17105263157894737
0.7,0.1,1.5,0.15,10,0.13157894736842105
0.7,0.1,1.5,0.2,12,0.15789473684210525
0.7,0.1,1.5,0.3,12,0.15789473684210525
0.7,0.15,1.1,0.15,11,0.14473684210526316
0.7,0.15,1.1,0.2,13,0.17105263157894737
0.7,0.15,1.1,0.3,13,0.17105263157894737
0.7,0.15,1.25,0.15,11,0.14473684210526316
0.7,0.15,1.25,0.2,13,0.17105263157894737
0.7,0.15,1.25,0.3,13,0.17105263157894737
0.7,0.15,1.5,0.15,10,0.13157894736842105
0.7,0.15,1.5,0.2,12,0.15789473684210525
0.7,0.15,1.5,0.3,12,0.15789473684210525
